timestamp,algorithm,n,seed,neg_ratio,dataset_key,batch_id,run_kind,runtime_us,k,neg_count,pos_count,partition_ok,k_ok,ok,array_file
20260327_142236_536376_f94377,Direct Scan,1000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142236_440949_b509cc,all,20326,480,480,520,True,True,True,
20260327_142236_558168_e6a79e,Two Pointers,1000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142236_440949_b509cc,all,187,480,480,520,True,True,True,
20260327_142236_577951_3c2a95,Transform-and-Conquer,1000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142236_440949_b509cc,all,156,480,480,520,True,True,True,
20260327_142236_605488_55d18f,Divide-and-Conquer,1000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142236_440949_b509cc,all,2670,480,480,520,True,True,True,
20260327_142245_069171_00db21,Direct Scan,5000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142244_484535_c2c0f5,all,193603,2482,2482,2518,True,True,True,
20260327_142245_085206_67682e,Two Pointers,5000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142244_484535_c2c0f5,all,916,2482,2482,2518,True,True,True,
20260327_142245_116742_c05961,Transform-and-Conquer,5000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142244_484535_c2c0f5,all,841,2482,2482,2518,True,True,True,
20260327_142245_198094_d6770f,Divide-and-Conquer,5000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142244_484535_c2c0f5,all,17717,2482,2482,2518,True,True,True,
20260327_142255_958624_44954b,Direct Scan,10000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142253_550453_145654,all,797720,4996,4996,5004,True,True,True,
20260327_142255_985733_18e66e,Two Pointers,10000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142253_550453_145654,all,1541,4996,4996,5004,True,True,True,
20260327_142256_012694_6dd274,Transform-and-Conquer,10000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142253_550453_145654,all,1652,4996,4996,5004,True,True,True,
20260327_142256_127489_906462,Divide-and-Conquer,10000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142253_550453_145654,all,32409,4996,4996,5004,True,True,True,
20260327_142315_180570_cf8d11,Direct Scan,20000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142305_381475_13e48b,all,3266657,9927,9927,10073,True,True,True,
20260327_142315_211867_4db96c,Two Pointers,20000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142305_381475_13e48b,all,2944,9927,9927,10073,True,True,True,
20260327_142315_259267_3827cc,Transform-and-Conquer,20000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142305_381475_13e48b,all,3791,9927,9927,10073,True,True,True,
20260327_142315_479511_e88166,Divide-and-Conquer,20000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142305_381475_13e48b,all,65751,9927,9927,10073,True,True,True,
20260327_142426_299307_e9e623,Direct Scan,50000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142322_474226_64e8ba,all,21270982,25103,25103,24897,True,True,True,
20260327_142426_362960_d39679,Two Pointers,50000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142322_474226_64e8ba,all,7491,25103,25103,24897,True,True,True,
20260327_142426_426201_ee3d4f,Transform-and-Conquer,50000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142322_474226_64e8ba,all,9242,25103,25103,24897,True,True,True,
20260327_142426_972827_6657a6,Divide-and-Conquer,50000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142322_474226_64e8ba,all,175474,25103,25103,24897,True,True,True,
20260327_142903_567559_149356,Direct Scan,100000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142444_587813_f39b78,all,86322988,50150,50150,49850,True,True,True,
20260327_142903_676005_9241b1,Two Pointers,100000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142444_587813_f39b78,all,18415,50150,50150,49850,True,True,True,
20260327_142903_784510_28ace5,Transform-and-Conquer,100000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142444_587813_f39b78,all,20165,50150,50150,49850,True,True,True,
20260327_142904_966714_c01840,Divide-and-Conquer,100000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142444_587813_f39b78,all,375989,50150,50150,49850,True,True,True,
20260327_144850_508034_0b48e0,Direct Scan,200000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142958_575357_e77478,all,377303289,100120,100120,99880,True,True,True,
20260327_144850_703754_9b2426,Two Pointers,200000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142958_575357_e77478,all,38684,100120,100120,99880,True,True,True,
20260327_144850_953483_5d10d5,Transform-and-Conquer,200000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142958_575357_e77478,all,52863,100120,100120,99880,True,True,True,
20260327_144853_486412_d06a2d,Divide-and-Conquer,200000,123,0.500000,seed=123|neg_ratio=0.500000,all_20260327_142958_575357_e77478,all,815658,100120,100120,99880,True,True,True,
20260327_145528_250476_d4ffb0,Direct Scan,1000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145528_234770_821288,all,2567,87,87,913,True,True,True,
20260327_145528_266162_0671d6,Two Pointers,1000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145528_234770_821288,all,119,87,87,913,True,True,True,
20260327_145528_281961_035e73,Transform-and-Conquer,1000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145528_234770_821288,all,151,87,87,913,True,True,True,
20260327_145528_313914_aef2bf,Divide-and-Conquer,1000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145528_234770_821288,all,2611,87,87,913,True,True,True,
20260327_145537_239219_941686,Direct Scan,5000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145537_017738_5ddf34,all,69463,474,474,4526,True,True,True,
20260327_145537_255135_b53311,Two Pointers,5000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145537_017738_5ddf34,all,638,474,474,4526,True,True,True,
20260327_145537_282925_bea15f,Transform-and-Conquer,5000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145537_017738_5ddf34,all,770,474,474,4526,True,True,True,
20260327_145537_347444_6aa85d,Divide-and-Conquer,5000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145537_017738_5ddf34,all,15194,474,474,4526,True,True,True,
20260327_145545_081744_21bafe,Direct Scan,10000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145544_263124_f4a0fd,all,266872,963,963,9037,True,True,True,
20260327_145545_097424_57d011,Two Pointers,10000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145544_263124_f4a0fd,all,1269,963,963,9037,True,True,True,
20260327_145545_134065_dbf666,Transform-and-Conquer,10000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145544_263124_f4a0fd,all,1537,963,963,9037,True,True,True,
20260327_145545_247809_681d82,Divide-and-Conquer,10000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145544_263124_f4a0fd,all,31685,963,963,9037,True,True,True,
20260327_145615_407765_3e3654,Direct Scan,50000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145551_464871_10310f,all,7975854,5115,5115,44885,True,True,True,
20260327_145615_470940_ec75d1,Two Pointers,50000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145551_464871_10310f,all,7091,5115,5115,44885,True,True,True,
20260327_145615_539633_8e91ce,Transform-and-Conquer,50000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145551_464871_10310f,all,10175,5115,5115,44885,True,True,True,
20260327_145616_098401_b17a02,Divide-and-Conquer,50000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145551_464871_10310f,all,176838,5115,5115,44885,True,True,True,
20260327_145811_382424_61edc2,Direct Scan,100000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145636_830215_9fbf04,all,31514753,9968,9968,90032,True,True,True,
20260327_145811_477031_763576,Two Pointers,100000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145636_830215_9fbf04,all,13794,9968,9968,90032,True,True,True,
20260327_145811_588756_81bf66,Transform-and-Conquer,100000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145636_830215_9fbf04,all,18592,9968,9968,90032,True,True,True,
20260327_145812_771828_a2c1ef,Divide-and-Conquer,100000,123,0.100000,seed=123|neg_ratio=0.100000,all_20260327_145636_830215_9fbf04,all,378178,9968,9968,90032,True,True,True,
20260327_151030_531121_1ef296,Direct Scan,1000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151030_519681_382106,all,3691,899,899,101,True,True,True,
20260327_151030_547144_7f24d1,Two Pointers,1000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151030_519681_382106,all,156,899,899,101,True,True,True,
20260327_151030_578948_66a9e8,Transform-and-Conquer,1000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151030_519681_382106,all,155,899,899,101,True,True,True,
20260327_151030_610829_3ff13c,Divide-and-Conquer,1000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151030_519681_382106,all,2883,899,899,101,True,True,True,
20260327_151038_376041_867004,Direct Scan,5000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151038_106213_ad12c3,all,80163,4495,4495,505,True,True,True,
20260327_151038_392020_9a5560,Two Pointers,5000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151038_106213_ad12c3,all,765,4495,4495,505,True,True,True,
